OrigOrder,Township,Page,Lot,Bounds,Starting Corner,Direction,Chains,Links,Observation,Bounds Text,Destination Corner,Transcriber,Note
1,Hector,1,1,North,NW,East,0,,Beginning at a pitch pine Tree Standing on the East Bank of the Senekee Lake marked on the Northeast side For the Southwest Corner of Township No. 16  And on the Southeast Side For the Southeast [Northwest] Corner of Township of No. 21  And runs thence due Magnetic east.,,,,
2,Hector,1,1,North,NW,East,52,,The 13 Mile tree Ascending Ground bearing White & Black Oak Hickory & Ash mainly.,,,Charlotte,
3,Hector,1,1,North,NW,East,124,50,A fine Brook Bearing Southwesterly,,,Charlotte,
4,Hector,1,1,North,NW,East,125,,Marked a large Hemlock tree on the Northeasterly Side of No.1 and on the Northwesterly Side No. 3 for the Corner of Lots No. 1 & 3,,NE,Charlotte,
5,Hector,18,1,South,SW,East,0,,Beginning at a pitch pine tree Standing on the Bank of the Lake Marked & Numbered for the Southwest and Northwest Corner of Lots No. 1 & 2,,,,
6,Hector,18,1,South,SW,East,30,,The road – The Land good Covered with Oak Hickory Basswood & Elm,,,,
7,Hector,18,1,South,SW,East,62,,A fine spring brook running Northwesterly here the Land very good,,,JuneSzabo,
8,Hector,18,1,South,SW,East,132,,Intersected the East Bounds of the Lake Lots -Vide Northeast & Southeast corner of Lots No. 1 & 2 page 2,,SE,JuneSzabo,
9,Hector,2,1,East,NE,South,15,,Descended a bank and  Crossed a dry run Bearing Northerly Timber White &  black Oak Maple Beech &  some White pine,,,Charlotte,
10,Hector,2,1,East,NE,South,32,,"Descended a Steep Bank and Crossed at the Confluence of two Brooks. One from the South East and the other from the East then Ascended good Land bearing Basswood with the Timber last mentioned  [White and Black Oak, Maple, Beach & White Pine]",,,Charlotte,
11,Hector,2,1,East,NE,South,55,,Marked & Numbered a large Black OakTree for the Corner of Lots No. 1 & 2,,SE,Charlotte,
12,Hector,17,2,South,SW,East,0,,Beginning at a large Pitch pine tree Standing on the bank of the Lake being 485 Links South of the Line or Corner Marked and Numbered for the Northwest & Southwest Corner of Lots No. 11 & 2,,,JuneSzabo,
13,Hector,17,2,South,SW,East,135,,Crossed a dry run bearing Northwesterly Excellent Land,,,,
14,Hector,18,2,South,SW,East,54,,The road   the Land is very good and well timbered,,,JuneSzabo,
15,Hector,18,2,South,SW,East,94,,Crossed a dry run bear: Northwesterly Excellent Land,,,JuneSzabo,
16,Hector,18,2,South,SW,East,142,50,Intersected the East Bounds of the Lake Lots -Vide Northeast & Southwest – page 2,,SE,JuneSzabo,
17,Hector,2,2,East,NE,South,5,,The timber Basswood Hickory and Elm,,,Charlotte,
18,Hector,2,2,East,NE,South,32,,Descended a Bank and Crossed a Brook Running Westerly  A White Ash Stake Marked and Numbered for the Southeast and Northeast Corner of Lots No 2 and 11.,,,Charlotte,
19,Hector,2,2,East,NE,South,51,,A White Ash Stake Marked and Numbered for the Southeast and Northeast Corner of Lots No 2 and 11.  Good Land Covered with young thrifty timber,,SE,,should be at 2SE
20,Hector,54,3,North,NE,West,0,,Beginning at the Corner last mentioned [Northeast and Northwest Corner of Lots No. 3 & 4. Vide Page 23 &24],,,,
21,Hector,54,3,North,NE,West,70,,A small Brook running Northwesterly,,,Rebecca,
22,Hector,54,3,North,NE,West,77,57,A Hemlock tree being the Northeast & Northwest Corner of Lots No. 1 & 3 Vide page 1  Land but midling being some rough & Broken,,NW,Rebecca,
23,Hector,54,3,South,SW,East,0,,Beginning at a White Oak Tree Marked and Numbered for the Southwest and Northwest Corner of Lots No. 3 & 12 Standing in the East Bounds of Lot No. 2,,,,
24,Hector,54,3,South,SW,East,32,,A fine Brook running SWly,,,Rebecca,
25,Hector,54,3,South,SW,East,77,57,"The Corner of Lots No. 3, 4, 12 & 13 Vide Page 23  Land Somewhat uneven but the soil pretty good Bearing fine thrifty Chesnut. ",,SE,Rebecca,
26,Hector,23,3,East,SE,North,0,,"Beginning at a Corner last Mentioned [Corner of Lots No.3, 4, 12 & 13]",,,,
