Journal Page,Twp Name,Twp No,Lot No,Bounds,Alt Lot,Alt bounds,Bounds Text,Direction,Corner,Corner Observations,Chains,Links,Observation,Destination Corner,Transcriber
1,Hector,21,1,North,Townline,South,,East,NW,Beginning at a pitch pine Tree Standing on the East Bank of the Senekee Lake marked on the Northeast side For the Southwest Corner of Township No. 16  And on the Southeast Side For the Southeast [Northwest] Corner of Township of No. 21  And runs thence due Magnetic east.,0,,,,
1,Hector,21,1,North,Townline,South,,East,,,52,,The 13 Mile tree Ascending Ground bearing White & Black Oak Hickory & Ash mainly.,,Charlotte
1,Hector,21,1,North,Townline,South,,East,,,124,50,A fine Brook Bearing Southwesterly,,Charlotte
1,Hector,21,1,North,Townline,South,,East,,,125,,Marked a large Hemlock tree on the Northeasterly Side of No.1 and on the Northwesterly Side No. 3 for the Corner of Lots No. 1 & 3,NE,Charlotte
1,Hector,21,1,North,Townline,South,No Journal Entry,,,,,,,,
18,Hector,21,1,South,2,North,,East,SW,Beginning at a pitch pine tree Standing on the Bank of the Lake Marked & Numbered for the Southwest and Northwest Corner of Lots No. 1 & 2 ,0,,,,
18,Hector,21,1,South,2,North,,East,,,30,,The road – The Land good Covered with Oak Hickory Basswood & Elm,,
18,Hector,21,1,South,2,North,,East,,,62,,A fine spring brook running Northwesterly here the Land very good,,JuneSzabo
18,Hector,21,1,South,2,North,,East,,,132,,Intersected the East Bounds of the Lake Lots -Vide Northeast & Southeast corner of Lots No. 1 & 2 page 2,SE,JuneSzabo
18,Hector,21,1,South,2,North,No Journal Entry,,,,,,,,
2,Hector,21,1,East,3,West,,South,NE,No journal entry - begining on the Ovid townline,0,,,,
2,Hector,21,1,East,3,West,,South,,,15,,Descended a bank and  Crossed a dry run Bearing Northerly Timber White &  black Oak Maple Beech &  some White pine,,Charlotte
2,Hector,21,1,East,3,West,,South,,,32,,"Descended a Steep Bank and Crossed at the Confluence of two Brooks. One from the South East and the other from the East then Ascended good Land bearing Basswood with the Timber last mentioned  [White and Black Oak, Maple, Beach & White Pine]",,Charlotte
2,Hector,21,1,East,3,West,,South,,,55,,Marked & Numbered a large Black OakTree for the Corner of Lots No. 1 & 2,SE,Charlotte
2,Hector,21,1,East,3,West,No Journal Entry,,,,,,,,
,Hector,21,1,West,Lake,,No Journal Entry,,,,,,,,
,,,,,,,,,,,,,,,
18,Hector,21,2,North,1,South,See Lot 1 South,,,,,,,,JuneSzabo
17,Hector,21,2,South,11,North,,East,SW,Beginning at a large Pitch pine tree Standing on the bank of the Lake being 485 Links South of the Line or Corner Marked and Numbered for the Northwest & Southwest Corner of Lots No. 11 & 2,0,,,,JuneSzabo
17,Hector,21,2,South,11,North,,East,,,,135,Crossed a dry run bearing Northwesterly Excellent Land,,
18,Hector,21,2,South,11,North,,East,,,54,,The road   the Land is very good and well timbered,,JuneSzabo
18,Hector,21,2,South,11,North,,East,,,94,,Crossed a dry run bear: Northwesterly Excellent Land,,JuneSzabo
18,Hector,21,2,South,11,North,,East,,,142,50,Intersected the East Bounds of the Lake Lots -Vide Northeast & Southwest – page 2,SE,JuneSzabo
18,Hector,21,2,South,11,North,No Journal Entry,,,,,,,,
2,Hector,21,2,East,3 & 12,West,,South,NE,No Journal Entry,0,,,,
2,Hector,21,2,East,3 & 12,West,,South,,,5,,The timber Basswood Hickory and Elm,,Charlotte
2,Hector,21,2,East,3 & 12,West,,South,,,32,,Descended a Bank and Crossed a Brook Running Westerly  A White Ash Stake Marked and Numbered for the Southeast and Northeast Corner of Lots No 2 and 11.,,Charlotte
2,Hector,21,2,East,3 & 12,West,,South,,,51?,,A White Ash Stake Marked and Numbered for the Southeast and Northeast Corner of Lots No 2 and 11.   [51 Chains possibly omitted in Journal - Page 2.],SE,
2,Hector,21,2,East,3 & 12,West,Good Land Covered with young thrifty timber,,,,,,,,
,Hector,21,2,West,Lake,,No Journal Entry,,,,,,,,
